Date;Disturbed;females;Field;Field 2;Field 3;Field 4;Fish Family;Genus;HCvsEF;juveniles;length;males;number caught;number seen;sampleID;Site;Species;weight
18/12/2010;undisturbed;;;;;;;;HC;;;;1;0;104;Maracas u;Astyanax bimaculatus;24.7
18/12/2010;undisturbed;;;;;;;;HC;;;;1;0;104;Maracas u;Astyanax bimaculatus;5.6
18/12/2010;undisturbed;;;;;;;;HC;;;;1;0;104;Maracas u;Astyanax bimaculatus;36.7
18/12/2010;undisturbed;;;;;;;;HC;;;;1;0;104;Maracas u;Astyanax bimaculatus;6.8
18/12/2010;undisturbed;;;;;;;;HC;;;;3;0;104;Maracas u;Hemibrycon taeniurus;1.8
18/12/2010;undisturbed;;;;;;;;HC;;;;2;0;104;Maracas u;Hemibrycon taeniurus;2.4
18/12/2010;undisturbed;;;;;;;;HC;;;;1;0;104;Maracas u;Hemibrycon taeniurus;1.4
18/12/2010;undisturbed;;;;;;;;HC;;;;1;0;104;Maracas u;Rivulus hartii;1
18/12/2010;undisturbed;;;;;;;;HC;;;;1;0;104;Maracas u;Crenicichla frenata;6.2
18/12/2010;undisturbed;;;;;;;;;;;;0;1;104;Maracas u;Crenicichla frenata;7
18/12/2010;undisturbed;;;;;;;;;;4;;0;1;104;Maracas u;Hypostomus robinii;40
18/12/2010;undisturbed;0;;;;;;;HC;1;;0;1;0;104;Maracas u;Poecilia reticulata;0.04
13/01/2011;disturbed;81;;;;;;;HC;41;;75;197;0;35;Lopinot d;Poecilia reticulata;0.13
13/01/2011;disturbed;;;;;;;;HC;;;;1;0;35;Lopinot d;Andinoacara pulcher;12.1
13/01/2011;disturbed;;;;;;;;HC;;;;1;0;35;Lopinot d;Andinoacara pulcher;3.1
13/01/2011;disturbed;;;;;;;;HC;;;;1;0;35;Lopinot d;Andinoacara pulcher;7.1
13/01/2011;disturbed;;;;;;;;HC;;;;1;0;35;Lopinot d;Andinoacara pulcher;3
13/01/2011;disturbed;;;;;;;;HC;;;;1;0;35;Lopinot d;Hemibrycon taeniurus;2.2
13/01/2011;disturbed;;;;;;;;HC;;;;1;0;35;Lopinot d;Rivulus hartii;0.6
13/01/2011;disturbed;;;;;;;;HC;;;;1;0;35;Lopinot d;Crenicichla frenata;0.9
13/01/2011;disturbed;;;;;;;;HC;;;;1;0;35;Lopinot d;Crenicichla frenata;0.8
13/01/2011;disturbed;;;;;;;;HC;;;;1;0;35;Lopinot d;Crenicichla frenata;0.7
13/01/2011;disturbed;;;;;;;;;;5;;0;1;35;Lopinot d;Hypostomus robinii;55
13/01/2011;undisturbed;;;;;;;;HC;;;;1;0;36;Lopinot u;Andinoacara pulcher;5.7
13/01/2011;undisturbed;;;;;;;;HC;;;;1;0;36;Lopinot u;Andinoacara pulcher;4.8
13/01/2011;undisturbed;;;;;;;;HC;;;;1;0;36;Lopinot u;Andinoacara pulcher;3.9
13/01/2011;undisturbed;;;;;;;;HC;;;;1;0;36;Lopinot u;Andinoacara pulcher;16.1
13/01/2011;undisturbed;;;;;;;;HC;;;;1;0;36;Lopinot u;Andinoacara pulcher;20.8
13/01/2011;undisturbed;;;;;;;;HC;;;;1;0;36;Lopinot u;Andinoacara pulcher;11.8
13/01/2011;undisturbed;;;;;;;;HC;;;;1;0;36;Lopinot u;Andinoacara pulcher;6.6
13/01/2011;undisturbed;;;;;;;;HC;;;;1;0;36;Lopinot u;Andinoacara pulcher;25.2
13/01/2011;undisturbed;;;;;;;;HC;;;;1;0;36;Lopinot u;Andinoacara pulcher;38.4
13/01/2011;undisturbed;;;;;;;;HC;;;;1;0;36;Lopinot u;Andinoacara pulcher;32.8
13/01/2011;undisturbed;;;;;;;;HC;;;;1;0;36;Lopinot u;Andinoacara pulcher;6.4
13/01/2011;undisturbed;;;;;;;;HC;;;;1;0;36;Lopinot u;Andinoacara pulcher;14
13/01/2011;undisturbed;;;;;;;;HC;;;;1;0;36;Lopinot u;Andinoacara pulcher;7.3
13/01/2011;undisturbed;;;;;;;;HC;;;;1;0;36;Lopinot u;Andinoacara pulcher;5
13/01/2011;undisturbed;;;;;;;;HC;;;;1;0;36;Lopinot u;Rivulus hartii;1
13/01/2011;undisturbed;;;;;;;;HC;;;;1;0;36;Lopinot u;Rivulus hartii;0.5
13/01/2011;undisturbed;69;;;;;;;HC;72;;46;187;0;36;Lopinot u;Poecilia reticulata;0.11
13/01/2011;disturbed;;;;;;;;HC;;;;1;0;35;Lopinot d;Eudaniela garmani;5.1
13/01/2011;undisturbed;;;;;;;;HC;;;;1;0;36;Lopinot u;Eudaniela garmani;60
14/01/2011;disturbed;;;;;;;;HC;;;;1;0;37;Lower Aripo d;Astyanax bimaculatus;1
14/01/2011;disturbed;;;;;;;;HC;;;;2;0;37;Lower Aripo d;Astyanax bimaculatus;1.5
14/01/2011;disturbed;;;;;;;;HC;;;;14;0;37;Lower Aripo d;Astyanax bimaculatus;2
14/01/2011;disturbed;;;;;;;;HC;;;;10;0;37;Lower Aripo d;Astyanax bimaculatus;2.5
14/01/2011;disturbed;;;;;;;;HC;;;;22;0;37;Lower Aripo d;Astyanax bimaculatus;3
14/01/2011;disturbed;;;;;;;;HC;;;;7;0;37;Lower Aripo d;Astyanax bimaculatus;3.5
14/01/2011;disturbed;;;;;;;;HC;;;;9;0;37;Lower Aripo d;Astyanax bimaculatus;4
14/01/2011;disturbed;;;;;;;;HC;;;;5;0;37;Lower Aripo d;Astyanax bimaculatus;5
14/01/2011;disturbed;;;;;;;;HC;;;;4;0;37;Lower Aripo d;Astyanax bimaculatus;4.5
